Date,Customer_ID,Order_ID,User_Name,User_Email,Phone_Number,City,Product Name,Region,State,Rating,Brand,Product_Category,Product_ID,Revenue,Net_Profit,Units_Sold,Unit_Price,Discount_Percent
12/7/2024,CUST100000,ORD200000,Ananya,ananya0@gmail.com,9173930000,Ahmedabad,Face Mask,West,Gujarat,4,Huda Beauty,Beauty,P100000,183742.25,18820.06,90,3303.45,47.56
7/13/2024,CUST100001,ORD200001,Arjun,arjun1@gmail.com,9196310000,Chennai,Shaving Cream,East,Tamil Nadu,2,MAC,Haircare,P100001,171797.66,36043.59,72,224.82,3.85
7/14/2024,CUST100002,ORD200002,Ishita,ishita2@gmail.com,9193070000,Delhi,Serum,East,Delhi,4,Minimalist,Skincare,P100002,40609.82,23885.85,326,411.68,1.42
7/15/2024,CUST100003,ORD200003,Vivaan,vivaan3@gmail.com,9167230000,Nagpur,Face Cream,South,Maharashtra,4,L'Oreal,Fashion,P100003,175256.86,10714.94,30,1183.29,44.21
7/16/2024,CUST100004,ORD200004,Aditya,aditya4@gmail.com,9169900000,Chandigarh,Shampoo,South,Punjab,5,L'Oreal,Accessories,P100004,42628.04,17065.37,359,2610.95,37.41
7/17/2024,CUST100005,ORD200005,Ishita,ishita5@gmail.com,9172400000,Lucknow,Body Lotion,East,Uttar Pradesh,3,Huda Beauty,Haircare,P100005,125682.72,33455.96,407,2774.92,49.61
7/18/2024,CUST100006,ORD200006,Meera,meera6@gmail.com,9195140000,Ahmedabad,Face Cream,West,Gujarat,5,MAC,Accessories,P100006,17174.82,34396.58,288,267.88,19.84
7/19/2024,CUST100007,ORD200007,Sneha,sneha7@gmail.com,9169140000,Indore,Hair Oil,East,Madhya Pradesh,5,Huda Beauty,Skincare,P100007,176193.56,37576.19,86,934.8,20.8
7/20/2024,CUST100008,ORD200008,Kavya,kavya8@gmail.com,9173710000,Hyderabad,Deodorant,West,Telangana,4,MAC,Skincare,P100008,11248.56,11601.61,234,2548.56,8.62
7/21/2024,CUST100009,ORD200009,Ishita,ishita9@gmail.com,9187630000,Chandigarh,Face Mask,South,Punjab,1,The Body Shop,Fashion,P100009,111433.63,27230.12,235,3010.31,5.79
7/22/2024,CUST100010,ORD200010,Arjun,arjun10@gmail.com,9182610000,Ahmedabad,Perfume,West,Gujarat,4,The Body Shop,Fashion,P100010,156162.59,2828.71,313,827.17,28.94
7/23/2024,CUST100011,ORD200011,Sneha,sneha11@gmail.com,9189820000,Lucknow,Body Wash,East,Uttar Pradesh,4,Lakme,Beauty,P100011,24250.11,29063.52,365,2054.32,18.21
7/24/2024,CUST100012,ORD200012,Akshay,akshay12@gmail.com,9180540000,Coimbatore,Conditioner,North,Tamil Nadu,3,Minimalist,Accessories,P100012,81491.57,22571.67,265,4531.57,4.02
7/25/2024,CUST100013,ORD200013,Amit,amit13@gmail.com,9175580000,Patna,Face Mask,South,Bihar,4,Huda Beauty,Accessories,P100013,9348.08,10065.67,287,4994.61,44.35
7/26/2024,CUST100014,ORD200014,Shreya,shreya14@gmail.com,9197930000,Mumbai,Body Wash,South,Maharashtra,5,Minimalist,Skincare,P100014,136867.76,26219.81,327,4937.35,9.92
7/27/2024,CUST100015,ORD200015,Vivaan,vivaan15@gmail.com,9164080000,Coimbatore,Aftershave,East,Tamil Nadu,5,MAC,Beauty,P100015,62182.47,5493.77,393,4420.21,37.43
7/28/2024,CUST100016,ORD200016,Rohan,rohan16@gmail.com,9181280000,Patna,Shaving Cream,East,Bihar,4,L'Oreal,Haircare,P100016,112319.65,13418.87,269,2033.83,14.11
7/29/2024,CUST100017,ORD200017,Rohan,rohan17@gmail.com,9167700000,Bangalore,Hand Sanitizer,South,Karnataka,4,Minimalist,Accessories,P100017,186613.72,16096.45,186,3464.21,40.65
7/30/2024,CUST100018,ORD200018,Sanya,sanya18@gmail.com,9167650000,Pune,Soap,East,Maharashtra,5,MAC,Beauty,P100018,61865.76,31107.77,131,2141.3,5.92
7/31/2024,CUST100019,ORD200019,Sneha,sneha19@gmail.com,9184280000,Ahmedabad,Shaving Cream,West,Gujarat,4,The Body Shop,Beauty,P100019,10676.87,12420.49,291,3277.78,37.8
1/8/2024,CUST100020,ORD200020,Amit,amit20@gmail.com,9162980000,Patna,Toner,West,Bihar,4,MAC,Skincare,P100020,135449.93,2056.48,481,1616.22,4.91
2/8/2024,CUST100021,ORD200021,Sanya,sanya21@gmail.com,9162450000,Bangalore,Shaving Cream,West,Karnataka,5,Huda Beauty,Beauty,P100021,157581.39,7311.55,277,3070.39,22.35
3/8/2024,CUST100022,ORD200022,Akshay,akshay22@gmail.com,9166210000,Lucknow,Shaving Cream,North,Uttar Pradesh,2,Lakme,Fashion,P100022,191615.84,24362.92,320,2666.42,36.7
4/8/2024,CUST100023,ORD200023,Kavya,kavya23@gmail.com,9173870000,Patna,Serum,East,Bihar,5,Lakme,Fashion,P100023,32402.37,708.49,351,219.95,8.66
5/8/2024,CUST100024,ORD200024,Vikram,vikram24@gmail.com,9168110000,Patna,Serum,West,Bihar,5,Lakme,Wellness,P100024,79035.85,31710.07,180,3974.44,14.28
6/8/2024,CUST100025,ORD200025,Neha,neha25@gmail.com,9177440000,Chennai,Moisturizer,South,Tamil Nadu,2,Lakme,Skincare,P100025,168983.95,36054.69,290,158.3,43.24
7/8/2024,CUST100026,ORD200026,Ananya,ananya26@gmail.com,9199870000,Pune,Soap,West,Maharashtra,5,The Body Shop,Haircare,P100026,161567.41,19866.36,480,1536.46,44.26
8/8/2024,CUST100027,ORD200027,Rahul,rahul27@gmail.com,9178180000,Kolkata,Sunscreen,West,West Bengal,4,Maybelline,Wellness,P100027,125334.35,28334.45,377,129.03,2.25
9/8/2024,CUST100028,ORD200028,Aditya,aditya28@gmail.com,9182250000,Mumbai,Lip Balm,East,Maharashtra,5,Minimalist,Fashion,P100028,54604.34,18560.8,163,1943.39,8.4
